name,tax_id,irs_name,street_address,city,state,zip,affiliation,website,advertises_apr,facebook,twitter,youtube,instagram,tiktok,donor_website,other_names
SHINE WOMEN'S CENTER,38-3921452,Pregancy Resource Center Of Greater Hazleton,170 1/2 Susquehanna Blvd,West Hazleton,PA,18202,Care Net,https://www.shinewomenscenter.com/ Yes,,https://www.facebook.com/shinewomenscenter,,https://www.instagram.com/shinewomenscenter,,,,
NORTH STAR WOMEN'S CENTER,23-2071962,Lifeline Of Berks County Inc,612 Reading Ave,West Reading,PA,19611,Heartbeat International,https://northstarwc.org/ No,,https://www.facebook.com/LifelineBerksCounty/,,,,,,
BETHANY CHRISTIAN SERVICES - WEXFORD,31-1282578,Bethany Christian Services of Western Pennsylvania,6600 Brooktree Ct,Wexford,PA,15090,Bethany Christian Services,https://www.bethany.org/western-pennsylvania No,,,,,,,,
EXPECTATIONS WOMEN'S CENTER - WILLIAMSPORT,23-2635894,Expectations Womens Center,"500 Pine St, Unit 1",Williamsport,PA,17701,Care Net,http://www.expectationswc.org/ No,,https://www.facebook.com/ExpectationsWC/,,https://www.instagram.com/expectationswc/,,,,
LEGACY OF LIFE FOUNDATION,45-3166872,Legacy Of Life Foundation,"25 South Main St, Unit 217",Yardley,PA,19067,,https://www.legacyoflifefoundation.org/contact-us/ No,,https://www.facebook.com/hLtetpgsa:c//ytwofiLttiefer.Fcooumn/dLaetghioatntcpIynso:cf//L/wifweFwd.ynoutube.comht/tcphsa:/n/wnewl/wU.CinnsmtaYgrraPmP.Gcovbmq/RleagkaHcyxo7f0lisfe9fydvnw/,,,,,,
HUMAN LIFE SERVICES,22-2625105,Human Life Services Inc,742 South George St,York,PA,17401,,http://www.humanlifeservices.org/ Yes,,https://www.facebook.com/humanlifeservicesyork,,https://www.instagram.com/humanlifeservices/,,,,
WOMEN'S CARE CENTER,23-2608350,Mother & Unborn Baby Care Of York Inc,40 South Richland Ave,York,PA,17404,,https://www.womenscarecenter.org/york-pennsylvania No,,,,,,,,
BETHANY CHRISTIAN SERVICES- LINCOLN,,,1525 Old Louisquisset Pike Suite C 202-203,Lincoln,RI,02865,Heartbeat International,https://bethany.org/locations/us/ri/lincoln No,,,,,,,,
HARMONY WOMEN'S CARE,05-0439164,Harmony Womens Care,"845 North Main St, Suite 3",Providence,RI,02904,Care Net,https://harmonycareri.org/ No,,https://www.facebook.com/HarmonyCareRI,,,,,https://www.harmonyfriends.org/,
MOTHER OF LIFE CENTER,22-2579761,Problem Pregnancy Of Providence Inc,400 Atwells Ave,Providence,RI,02909,Heartbeat International,http://www.motheroflife.org/ Yes,,,,,,,https://partner.motheroflife.org/,
CHOICES WOMEN'S PREGNANCY CENTER,85-0900357,Choices Womens Pregnancy Center,43 Broad St,Westerly,RI,02891,,https://choicesrhodeisland.com/ No,,https://www.facebook.com/choicesrhodeisland,,,,,,
LIFE CHOICES PREGNANCY CARE CENTER,57-0891412,Aiken Pregnancy Care Center Inc,130 East Pine Log Rd,Aiken,SC,29803,Care Net,https://pregnancyaiken.com/ No,,https://www.facebook.com/lifechoicespcc.aiken,,,,,,
ANDERSON PREGNANCY CARE,57-0886914,Anderson Life Crisis Pregnancy Center,1303 North Murray Ave,Anderson,SC,29624,Heartbeat International,http://www.andersonpregnancycare.org/ No,,https://www.facebook.com/acpcbabies/,,https://www.instagram.com/andersonpregnancycare/,,,,
RADIANCE PREGNANCY CARE CENTER,57-0811972,Beaufort Womens Center,21 Marshellen Dr,Beaufort,SC,29902,Care Net,https://www.radiancewomenscenter.com/ No,,,,,,,,
HOPE FOR LIFE PREGNANCY CENTER,57-1123556,Hope for Life Pregnancy Center,631 West Dekalb St,Camden,SC,29020,Care Net,https://hopeforlifepregnancycenter.com/ No,,https://twitter.com/midlandswctr,,,,,,
BIRTHRIGHT OF CHARLESTON,57-0624223,Birthright of Charleston,1638 Ashley Hall Rd,Charleston,SC,29407,Birthright International,https://www.birthrightofcharleston.org/ No,,https://www.facebook.com/birthrightofcharleston/,,,,,,
DAZZ CHARLESTON,57-0838453,Lowcountry Pregnancy Center,"1106 B St. Andrews Blvd, Suite B",Charleston,SC,29407,Care Net,https://www.dazzcharleston.com/ Yes,,https://www.facebook.com/DazzCharleston/,,,,,,
FOOTHILLS CARE CENTER - CLEMSON,57-0897976,Foothills Care Center Inc,"518 College Ave, Suite 170",Clemson,SC,29631,,https://www.foothillscarecenter.org/ Yes,,,,,,,,
BIRTHRIGHT OF COLUMBIA,57-0699621,Birthright of Columbia,1316 Richland St,Columbia,SC,29201,Birthright International,https://birthrightofcolumbia.org/ No,,https://www.facebook.com/BirthrightofColumbia,,https://www.instagram.com/birthright_of_columbia/,,,,
DAYBREAK LIFECARE CENTER,57-0760670,Daybreak Inc,1601 St. Julian Place,Columbia,SC,29204,Care Net,https://daybreakcola.org/ Yes,,https://www.facebook.com/daybreakcola,,https://www.instagram.com/daybreakcola/,,,,
COASTLINE WOMEN'S CENTER - CONWAY,80-0793152,Coastline Womens Center,1607 9th Ave,Conway,SC,29526,Heartbeat International,http://coastlinewomenscenter.org/ Yes,,https://www.facebook.com/CoastlineWomensCehnttteprs://www.youtube.comht/t@psc:o//awswtlwin.einwsotamghertantpmssc.:ec//onwmtew/rwc8o2.ta3iks6ttolikn.ecwomom/@encsoastlinewomenscenter,,,,,,
THE PREGNANCY CENTER OF DILLON COUNTY,81-3765348,Crisis Pregnancy Center Of Dillon County,300 North 4th Ave,Dillon,SC,29536,,https://www.tpcofdillon.org/ No,,,,,,,,
HOPE WOMEN'S CENTER,57-0916319,Hope Womens Center Inc,879 Gentry Memorial Hwy,Easley,SC,29641,Care Net,https://www.hopewomenscenterinc.org/ No,,https://www.facebook.com/hopewomenscenter,,,,,,
A CHOICE TO MAKE PREGNANCY RESOURCE CENTER,26-4313491,Abc Crisis Pregnancy Center Inc — A Choice 2 M8 K,516 South Coit St,Florence,SC,29501,Care Net,https://www.achoicetomake.org/ Yes,,https://www.facebook.com/AChoiceToMake/,,https://www.instagram.com/achoicetomake_669_HOPE/,,,,
CHEROKEE PREGNANCY CENTER,20-0535650,Cherokee Pregnancy Center Incorp,1719 Old Georgia Hwy,Gaffney,SC,29341,Care Net,http://www.cherokeepregnancycenter.com/ No,,https://www.facebook.com/profile.php?id=100051667975842,,,,,,
BIRTHRIGHT OF GEORGETOWN,57-1133650,Birthright of Georgetown,1905 Front St,Georgetown,SC,29440,Birthright International,https://birthrightofgeorgetown.org/ No,,https://www.facebook.com/profile.php?id=100066484784829,,,,,,
PIEDMONT WOMEN'S CENTER - GREENVILLE,57-0932285,Piedmont Womens Center,1143 Grove Rd,Greenville,SC,29605,Care Net,http://piedmontwomenscenter.org/ Yes,,https://www.facebook.com/piedmontwomenscenhtettrps://www.youtube.comht/t@psP:/i/ewdwmwo.nintWstaogmraemns.Ccoemnt/eprieGdrmeeonnvtiwlleomenscenter/,,,,,,
BIRTHRIGHT OF GREENVILLE,57-0718210,Birthright of Greenville,721 Lowndes Hill Rd Ste A,Greenville,SC,29607,Birthright International,https://www.birthrightgvl.org/ No,,https://www.facebook.com/birthrightofgreenville/,,https://www.instagram.com/birthrightgvl/,,,,
CROSSROADS PREGNANCY CENTER,57-0876833,Greenwood Womens Center,428 Grace St,Greenwood,SC,29649,,https://www.crossroadspregnancycenter.org/ Yes,,https://www.facebook.com/CrossRoadsPregnancyCenterSC,,,,,,
PIEDMONT WOMEN'S CENTER - GREER,57-0932285,Piedmont Womens Center,100 Collins Dr,Greer,SC,29651,Care Net,http://piedmontwomenscenter.org/ Yes,,https://www.facebook.com/piedmontwomenscenhtettrps://www.youtube.comht/t@psP:/i/ewdwmwo.nintWstaogmraemns.Ccoemnt/eprieGdrmeeonnvtiwlleomenscenter/,,,,,,
PREGNANCY CENTER AND CLINIC OF THE LOW COUNTRY-HILTON HEAD,57-0923523,Pregnancy Center and Clinic of the Low Country,19 Moss Creek Village Suite E,Hilton Head Island,SC,29926,Heartbeat International,https://www.pregnancycenterhhi.org/ No,,https://www.facebook.com/pregnancycenterhhi/,,https://www.instagram.com/pregnancycenterhhi/,,,,
PREGNANCY CENTER & CLINIC OF THE LOW COUNTRY- HILTON HEAD,57-0923523,Pregnancy Center and Clinic of the Low Country,201 Merchant St,Hilton Head,SC,29926,Heartbeat International,http://www.pregnancycenterhhi.org/ No,,https://www.facebook.com/pregnancycenterhhi/,,https://www.instagram.com/pregnancycenterhhi/,,,,
WOMEN'S ENRICHMENT CENTER,57-1058253,Womens Enrichment Center,720 South Main St,Lancaster,SC,29720,,http://www.womensenrichmentcenter.com/ No,,,,,,,,
LAVIE PREGNANCY CARE CENTER,38-4081036,Lavie Pregnancy Care Center,1271 Calks Ferry Rd,Lexington,SC,29072,,http://www.laviesc.org/ No,,https://www.facebook.com/LaVieSC,,https://www.instagram.com/lifeatlavie,,,,
BETHANY CHRISTIAN SERVICES - MYRTLE BEACH,,,9403 Hwy 707 Ste D,Myrtle Beach,SC,29575,Heartbeat International,https://bethany.org/locations/us/sc/myrtle-beach No,,,,,,,,
COASTLINE WOMEN'S CENTER - MYRTLE BEACH,80-0793152,Coastline Womens Center,"3926 Wesley St, Suite 204",Myrtle Beach,SC,29579,Heartbeat International,https://coastlinewomenscenter.org/ Yes,,https://www.facebook.com/hCttopass:/t/litnweitWteor.mcoemns/cCoeahnsttttelpirnse:/w/wowmwe.nysoutube.comht/t@psc:o//awswtlwin.einwsotamghertantpmssc.:ec//onwmtew/rwc8o2.ta3iks6ttolikn.ecwomom/@encsoastlinewomenscenter,,,,,,
LIFEBRIDGE OF SOUTH CAROLINA,45-1135123,Lifebridge Of South Carolina,1510 Main St,Newberry,SC,29108,Care Net,https://www.lifebridgesouthcarolina.org/ No,,https://www.facebook.com/LifeBridgeClients/,https://www.youtube.comht/tcphsa:/n/wnewl/wU.Cin_sAtaagQra2mbw.cto2mE/2lbWe1s-sfeCnDtiAaltsS/t?ghl=en,,,,,
LOWCOUNTRY PREGNANCY CENTER,57-0838453,Lowcountry Pregnancy Center,"7481 Northside Dr, Suite B+C",North Charleston,SC,29420,Care Net,https://lowcountrypregnancycenter.com/ Yes,,https://www.facebook.com/LowcountryPregnancyCenter,,,,,https://www.lpcfriends.com/,
DAZZ - ORANGEBURG,57-0838453,Lowcountry Pregnancy Center,923 Chestnut St,Orangeburg,SC,29115,Care Net,https://www.dazzorangeburg.com/ Yes,,,,,,,,
PIEDMONT WOMEN'S CENTER - POWDERSVILLE,57-0932285,Piedmont Womens Center,108 Commons Blvd,Piedmont,SC,29673,Care Net,http://piedmontwomenscenter.org/ Yes,,https://www.facebook.com/piedmontwomenscenhtettrps://www.youtube.comht/t@psP:/i/ewdwmwo.nintWstaogmraemns.Ccoemnt/eprieGdrmeeonnvtiwlleomenscenter/,,,,,,
PREGNANCY CENTER AND CLINIC OF THE LOW COUNTRY-RIDGELAND,57-0923523,Pregnancy Center and Clinic of the Low Country,11332 North Jacob Smart Blvd,Ridgeland,SC,29936,Heartbeat International,https://www.pregnancycenterhhi.org/ No,,https://www.facebook.com/pregnancycenterhhi/,,https://www.instagram.com/pregnancycenterhhi/,,,,
PALMETTO WOMEN'S CENTER,57-0769792,Palmetto Womens Center,828 Lucas St,Rock Hill,SC,29730,Care Net,https://www.palmettowomenscenter.com/ Yes,,https://www.facebook.com/palmettowomenscenter/reviews/?ref=page_internal,,,,,,
FOOTHILLS CARE CENTER- SENECA,57-0897976,Foothills Care Center Inc,207 Main St,Seneca,SC,29678,Care Net,https://foothillscarecenter.org/ Yes,,https://www.facebook.com/FoothillsCareCenter,,https://www.instagram.com/foothillscarecenter/,,,,
CAROLINA PREGNANCY CENTER,57-0791115,Carolina Pregnancy Center,7425 Westlake Dr,Spartanburg,SC,29303,,http://carolinapregnancy.org/ No,,,,https://www.instagram.com/cpcspartanburg/,,,,
THE ADVOCACY PARENTING AND PREGNANCY CENTER,06-1829688,The Advocacy Center,190 South Lafayette Dr,Sumter,SC,29150,,https://the-advocacy-center.org/ No,,https://www.facebook.com/advocacycenter.org/,,,,,,
SUMTER PREGNANCY CENTER,57-0972905,Sumter Pregnancy Center,21 Barnette Dr,Sumter,SC,29150,Care Net,https://sumterpregnancycenter.com/ No,,https://www.facebook.com/sumterpregnancycenter/,,https://www.instagram.com/sumter_pregnancy_center/,,,,
UNION COUNTY PREGNANCY CENTER,57-1070841,Union County Pregnancy Center,115 East Main St,Union,SC,29379,,,,https://www.facebook.com/UnionCountyPregnancyCenter/,,,,,,
OPTION 1 WOMEN'S HEALTH CENTER,51-0638149,Elizabeths House,103 22nd Ave,Brookings,SD,57006,Heartbeat International,http://option1.org/ Yes,,https://www.facebook.com/Option1WHC/,,,,,,
PLUS ONE PREGNANCY GUIDANCE CENTER,46-4008205,Plus One Guidance Center,35 Market St SE,Huron,SD,57350,Heartbeat International,https://plusonehuron.org/ No,,https://www.facebook.com/plusonehuron/,,,,,,
BIRTHRIGHT OF PIERRE,46-2307988,Birthright of Pierre,314 South Henry St,Pierre,SD,57501,Birthright International,http://birthright.org/pierre No,,https://www.facebook.com/BirthrightOfPierre/,,,,,,
BETHANY CHRISTIAN SERVICES - RAPID CITY,,,217 Kansas City St,Rapid City,SD,57701,Heartbeat International,https://www.bethany.org/rapid-city No,,,,,,,,
BLACK HILLS PREGNANCY CENTER,36-3371919,Black Hills Crisis Pregnancy Center — Care Net Pregnancy Resource Center,"1774 Centre St, Suite 1",Rapid City,SD,57703,Heartbeat International; Care Net,https://blackhillspregnancycenter.com/ No,,https://www.facebook.com/BlackHillsPregnancyCenter/,,,,,https://bhpcpartners.org/,
BIRTHRIGHT OF RAPID CITY,46-2796033,Birthright of Rapid City,2002 5th St,Rapid City,SD,57701,Birthright International,http://birthright.org/rapidcity No,,,,,,,,
ALPHA CENTER,36-3347022,Alpha Center,3405 South Kiwanis Ave,Sioux Falls,SD,57105,,http://alphacenter.org/ Yes,,https://www.facebook.com/AlphaCenterSiouxFalls,,https://www.instagram.com/alphacentersiouxfalls/?hl=en,,,,
BIRTHRIGHT OF SIOUX FALLS,46-3069397,Sioux Falls Birthright,300 North Dakota Ave. Suite 501,Sioux Falls,SD,57103,Birthright International,http://birthright.org/siouxfalls No,,,,,,,,
BELLA PREGNANCY RESOURCE CENTER,36-3495588,Bella Pregnancy Resource Center,"119 East Grant St, Suite 2",Spearfish,SD,57783,Care Net,http://bellapregnancy.com/ Yes,,,,,,,,
FULL CIRCLE MEDICAL CENTER FOR WOMEN,72-1554892,Full Circle Medical Center For Women,510 Old Riceville Rd,Athens,TN,37303,Care Net,https://www.fullcircleforwomen.org/ Yes,,https://www.facebook.com/fullcircleforwomen,,https://www.instagram.com/fullcircleforwomen/,,,,
PATHWAYS PREGNANCY RESOURCE CENTER,58-1656980,Abortion Alternatives And Crisis Pregnancy Center Inc,17 24th St,Bristol,TN,37620,,https://pathwaysprc.org/ Yes,,,,,,,,
FYI CLINIC,26-1438369,Fyi Clinic,153 Washington Ave,Camden,TN,38320,Care Net,http://www.fyiclinic.com/ No,,,,,,,,
PREGNANCY HELP CENTER OF SMITH COUNTY,26-4503684,Pregnancy Help Center,108 College Ave West,Carthage,TN,37030,Heartbeat International,https://www.prcsmithcounty.org/ No,,,,,,,,
BETHANY CHRISTIAN SERVICES - CHATTANOOGA,,,1807 Bailey Ave,Chattanooga,TN,37403,Heartbeat International,https://bethany.org/locations/us/tennessee/chattanooga No,,,,,,,,
CHOICES PREGNANCY RESOURCE CENTER,58-1713618,A A A Womens Services Inc,"951 Eastgate Loop, Suite 1000",Chattanooga,TN,37403,Care Net,http://www.choiceschattanooga.org/ Yes,,https://www.facebook.com/ChoicesChatt/,,https://www.instagram.com/choiceschatt/,,,,
HOPE PREGNANCY CENTER,62-1361122,Hope Pregnancy Center,325 North 2nd St,Clarksville,TN,37040,Care Net,http://www.hopepregnancy.net/ No,,,,,,,,
NEW HOPE PREGNANCY CARE CENTER,62-1287400,New Hope Pregnancy Care Center,353 Worth St NW,Cleveland,TN,37311,Heartbeat International,http://clevelandtnpregnancy.com/ Yes,,https://www.facebook.com/newhopepcc,,https://www.instagram.com/clevelandtnpregnancy,,,,
LIFE CHOICES PREGNANCY & FAMILY RESOURCE CENTER - GRUNDY COUNTY,46-2245542,Life Choices Pregnancy & Family Resource Center,38 South Industrial Park Rd,Coalmont,TN,37313,Heartbeat International; Care Net; NIFLA,http://www.lifechoicestn.org/ Yes,,https://www.facebook.com/lifechoicespregnacysupportcenter/,,,,,,
PREGNANCY CENTERS OF MIDDLE TENNESSEE - COLUMBIA,58-2074086,Pregnancy Centers Of Middle Tennessee Inc,704 Dunnington St,Columbia,TN,38401,Care Net,https://www.pcofmt.com/ Yes,,,,https://www.instagram.com/pregnancycentersofmidtn/,,,,
COOKEVILLE PREGNANCY CLINIC,42-1563678,Crisis Pregnancy Center Of Cookeville Inc,714 North Dixie Ave,Cookeville,TN,38501,Care Net; Heartbeat International,https://www.cookevillecpc.org/ Yes,,https://www.facebook.com/CookevillePregnancyClinic,,,,,,
PLATEAU PREGNANCY SERVICES,62-1517569,Plateau Pregnancy Services,99 Walker Hill St,Crossville,TN,38555,Care Net,http://www.plateaupregnancyservices.com/ No,,https://www.facebook.com/hPtltaptse:a//utwPirtteegrn.caonmcy/PSPeSrvCicaerses,,,,,,
THE CARE CENTER- DAYTON,58-1767813,The Care Center,285 Main St,Dayton,TN,37321,Care Net; NIFLA,https://www.thecarecentertn.org/ Yes,,https://www.facebook.com/hthttepcsa:/r/etwceittnetre.rctonm//thehcattrpesc:/e/wntwerwtn.youtube.comht/tcphsa:/n/wnewl/wU.CinVstZazgyrcaTmb.hcoBmzo/tjhRencTa8rkeEceKndt8egrtn/,,,,,,
CARE NET PREGNANCY MEDICAL CENTER,62-1576786,Care Net Pregnancy Medical Center,305 South Main St,Dickson,TN,37055,Care Net,http://pregnancyhelp.net/ Yes,,,,,,,,
NEXT STEP RESOURCES CENTER,81-1510377,Next Step Resources Center,1817 Old York Hwy East,Dunlap,TN,37327,Care Net; Save the Storks,https://nextstepinfo.org/ Yes,,https://www.facebook.com/nextstepresourcecenter/,,https://www.instagram.com/nextstepcenter/,,,,
LIFE CHOICES DYERSBURG,62-1825041,Life Choices Crisis Pregnancy Supp Ctr Of Dyersburg Tenn,640 Hwy 51 Ste F,Dyersburg,TN,38204,,http://lifechoicesdyersburg.com/ No,,https://www.facebook.com/Life-Choices-Medical-Clinic-Dyersburg-432718566810036,,,,,,
ABORTION ALTERNATIVES & WOMEN'S CENTER,32-0039948,Abortion Alternatives And Womens Center,"145 Judge Don Lewis Blvd, Suite 7",Elizabethton,TN,37643,,https://thetlccenter.org/ No,,https://www.facebook.com/people/TLC-Community-Center/100064737696899/,,,,,,TLC Center
ALLIANCE WOMEN'S CLINIC - FRANKLIN,39-1486327,Alliance Family Services,"509 New Hwy 96 W, Suite 101",Franklin,TN,37064,Care Net,https://www.alliancewomensclinic.org/ Yes,,,,,,,,
CUMBERLAND CRISIS PREGNANCY CENTER,58-1705496,Cumberland Crisis Pregnancy Center,2229 Nashville Pike,Gallatin,TN,37066,Heartbeat International,https://www.ccpchope.org/ Yes,,,,,,,https://ccpcfriends.org/,
THE HOPE CENTER,62-0515535,Free Will Baptist Family Ministries Inc,314 Tusculum Blvd,Greeneville,TN,37745,Care Net,https://www.hopecentergreeneville.com/ No,,https://www.facebook.com/lifechoicespregnacysupportcenter/,,,,,,
BIRTH CHOICE - JACKSON,62-1613447,Birth Choice Incorporated,391 Wallace Rd,Jackson,TN,38305,Care Net,https://yourprivatechoice.net/ Yes,,https://www.facebook.com/yourprivatechoice,,https://www.instagram.com/yourprivathetcthpos:ic//eb/irthchoice.biz/,,,,
LIFE OUTREACH CENTER RESOURCES LOC,62-1730270,Life Outreach Center Incorporated,1179 North Hwy 92,Jefferson City,TN,37760,Care Net,http://www.lifeoutreachcenter.net/ No,,https://www.facebook.com/LOC-Resources-170233316356940/,,,,,,
AGAPE WOMEN'S SERVICES,62-1211791,Agape Womens Services,515 West Walnut St,Johnson City,TN,37604,Care Net,https://agapewomensservices.com/ Yes,,https://www.facebook.com/hatgtpasp:e//wwowmwe.innssstaegrvraicmes.c/om/agapejohnsoncity/,,,,,,
BETHANY CHRISTIAN SERVICES - KNOXVILLE,,,"318 Erin Dr, Suite 10",Knoxville,TN,37919,,https://www.bethany.org/knoxville No,,,,,,,,
HOPE RESOURCE CENTER,58-1592223,Hope Resource Center,2700 Painter Ave,Knoxville,TN,37919,Care Net; NIFLA,http://knoxvillehope.com/ Yes,,,,https://www.instagram.com/hoperesouhrtctpesc:e//nintevreksntoinxgvhilolepe.com/,,,,
PREGNANCY CARE CENTER- LEBANON,14-2004594,Pregnancy Care Center,"401 West Main St, Suite 104",Lebanon,TN,37087,Care Net,http://pregnancycarecentertn.com/ Yes,,https://www.facebook.com/PCCTN/,,https://www.instagram.com/pregnancycarecentertn/,,,,
ALLIANCE WOMEN'S CLINIC - LENOIR CITY,39-1486327,Alliance Family Services,118 North A St,Lenoir City,TN,37771,Care Net,https://www.alliancewomensclinic.org/ Yes,,,,,,,,
IN HIS IMAGE PREGNANCY CENTER,43-1967368,In His Image Pregnancy Resource Center Inc,101 3rd Ave North,Lewisburg,TN,37091,Care Net,,,https://www.facebook.com/groups/10150113244860167,,,,,,
LIFE CHOICES PREGNANCY & FAMILY RESOURCE CENTER - COFFEE COUNTY,46-2245542,Life Choices Pregnancy & Family Resource Center,300 West Fort St,Manchester,TN,37355,Heartbeat International; Care Net; NIFLA,http://www.lifechoicestn.org/ Yes,,https://www.facebook.com/lifechoicespregnacysupportcenter/,,,,,,
OASIS MEDICAL CLINIC,62-1549150,Agape House Of Northwest Tennessee,244 Dustin Laird Dr,Martin,TN,38327,,http://oasismedicaltn.com/ No,,,,,,,,
PREGNANCY RESOURCE CENTER - MARYVILLE,58-1704864,Pregnancy Resource Center,103 Station Dr,Maryville,TN,37803,Care Net,http://www.prcbctn.com/ Yes,,https://www.facebook.com/easttnprc,,https://www.instagram.com/easttnprc/https://www.youmakeherbrave.com/,,,,
BIRTHRIGHT OF MEMPHIS,23-7219353,Birthright of Memphis,115 Alexander St,Memphis,TN,38111,Birthright International,https://www.birthrightofmemphis.org/ No,,https://www.facebook.com/birthrightofmemphis/,,,,,,
LIFE CHOICES MEMPHIS,62-1281799,Life Choices Of Memphis Inc,"2400 Poplar Ave, Suite 550",Memphis,TN,38112,,http://www.lifechoicesmemphis.org/ Yes,,https://www.facebook.com/hlcttfprise:n//dtws/itter.com/LifeChoicesMem,,,,,,
BETHANY CHRISTIAN SERVICES - MEMPHIS,,,"200 East Pkwy N, Suite 236",Memphis,TN,38119,Heartbeat International,https://bethany.org/locations/us/tennessee/memphis No,,,,,,,,
LIFE CHOICES MEMPHIS,62-1281799,Life Choices Of Memphis Inc,5575 Raleigh LaGrange Rd,Memphis,TN,38134,,http://www.lifechoicesmemphis.org/ Yes,,https://www.facebook.com/hlcttfprise:n//dtws/itter.com/LifeChoicesMem,,,,,,
MID-SOUTH WOMEN'S CLINIC,62-1597366,Confidential Care Mobile Ministry Inc,16228 US Hwy 51 N,Millington,TN,38053,,https://www.midsouthwomensclinic.com/ No,,https://www.facebook.com/confidentialcaremm,,https://www.instagram.com/confidentiahltctpasre:/m/wmw/w.confidentialcaremm.org/,,,,
PREGNANCY CRISIS CENTER,20-5528660,Pregnancy Crisis Center,304 Calvary Dr,Morristown,TN,37815,Care Net,http://www.morristownpcc.org/ No,,https://www.facebook.com/MorristownPCC/,,https://www.instagram.com/pregnancycrisiscenter/,,,,
PREGNANCY SUPPORT CENTER OF JOHNSON COUNTY,27-3438026,Pregnancy Support Center,1999 Forge Rd,Mountain City,TN,37683,,https://www.pregnancysupportcenterofjc.com/ No,,https://www.facebook.com/PSCJC,,,,,,
PORTICO,62-1262109,Portico Inc,726 South Church St,Murfreesboro,TN,37130,Care Net,http://www.porticostory.org/ Yes,,https://www.facebook.com/hptotprtsic:/o/xs.tcoorym//porticostory,,https://www.instagram.com/porticostory/,,,,
HOPE CLINIC FOR WOMEN,62-1164825,Hope Clinic For Women,1810 Hayes St,Nashville,TN,37203,,https://www.hopeclinicforwomen.org/ No,,https://www.facebook.com/HopeClinicforWomenTN,,https://www.instagram.com/hopeclinic,,,,
BETHANY CHRISTIAN SERVICES - NASHVILLE,,,3534 West End Ave,Nashville,TN,37205,Bethany Christian Services,https://bethany.org/locations/us/tennessee/nashville No,,,,,,,,
NASHVILLE PREGNANCY HELP,62-1009171,Tennessee Right To Life Inc,409 Welshwood Dr,Nashville,TN,37211,,http://www.nashvillepregnancyhelp.com/ No,,,,,,,,Grace Pregnancy Resource Center
CHOICES RESOURCE CENTER,62-1512619,Choices Resource Center,170 Raleigh Rd,Oak Ridge,TN,37830,Care Net,http://www.choicesresource.com/ Yes,,https://www.facebook.com/choicesresource,,https://www.instagram.com/choicesresourcecenter/,,,,
PREGNANCY CARE CENTER - OLD HICKORY,14-2004594,Pregnancy Care Center,4989 Lebanon Pike,Old Hickory,TN,37138,Care Net,http://pregnancycarecentertn.com/ Yes,,https://www.facebook.com/PCCTN/,,https://www.instagram.com/pregnancycarecentertn/,,,,
TOMORROW'S HOPE PREGNANCY MEDICAL CLINIC,62-1743332,Tomorrows Hope Pregnancy Medical Clinic,211 North Brewer St,Paris,TN,38242,,https://www.tomorrowshopeparis.org/ Yes,,https://www.facebook.com/TomorrowsHopePMC,,https://www.instagram.com/tomorrowshopepmc/,,,,
HAWKINS COUNTY PREGNANCY HELP CENTER,,,207 North Hawkins St,Rogersville,TN,37857,Heartbeat International,https://www.hvbaptist.org/pregnancy-center No,,https://www.facebook.com/people/Hawkins-County-Pregnancy-Center/61560479104338/,,,,,,
PREGNANCY RESOURCE CENTER - SEVIERVILLE,58-1704864,Pregnancy Resource Center,800 Park Rd,Sevierville,TN,37862,Care Net,http://www.prcbctn.com/ Yes,,https://www.facebook.com/easttnprc,,https://www.instagram.com/easttnprc/,,,,
FIRST CHOICE PREGNANCY COUNSELING CENTER,91-2198915,First Choice Pregnancy Counseling Center,1102 Madison St,Shelbyville,TN,37160,Care Net,https://www.firstchoicepregnancy.com/ Yes,,https://www.facebook.com/hFtitrpsst-:C//thwoiticteer-.Pcoremg/nfiarsntccyh-oCicoeupncsceling-Center-1h2t2tp1s4:1//4w0w7w8.3in0s3t6a4g/ram.com/firstchoicepregnancytn/,,,,,,
THE CARE CENTER - SPRING CITY,58-1767813,The Care Center,250 Neal St,Spring City,TN,37381,Care Net; NIFLA,https://www.thecarecentertn.org/ Yes,,https://www.facebook.com/hthttepcsa:/r/etwceittnetre.rctonm//thehcattrpesc:/e/wntwerwtn.youtube.comht/tcphsa:/n/wnewl/wU.CinVstZazgyrcaTmb.hcoBmzo/tjhRencTa8rkeEceKndt8egrtn/,,,,,,
PREGNANCY CENTERS OF MIDDLE TENNESSEE - SPRING HILL,58-2074086,Pregnancy Centers Of Middle Tennessee Inc,"220 Town Center Pkwy, Suite 125",Spring Hill,TN,37174,Care Net,https://www.pcofmt.com/ Yes,,,,https://www.instagram.com/pregnancycentersofmidtn/,,,,
OPEN DOOR PREGNANCY CENTER,20-5798836,Open Door Pregnancy Center,1109 South Main St,Springfield,TN,37172,Care Net,https://opendoorprc.org/ No,,https://www.facebook.com/OpenDoorPregnancyCenter/,,,,,,
CROSSROADS WOMEN'S CLINIC,62-1867845,Lifebeat Family Resource Center,120 Church St,Tiptonville,TN,38079,,https://crossroadswomensclinic.com/ No,,https://www.facebook.com/crossRoadswomensclinic,,,,,https://lifebeatcenterfriends.com/,
